"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_5600","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_3367","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_16988","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_8458","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_3796","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_672","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_16895","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_6508","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_4295","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_6747","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_7445","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_15063","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_16054","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_8363","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_11073","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_9058","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_6070","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_31374","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_3704","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_4149","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_36200","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_40133","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_7569","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_10254","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_7151","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_6610","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_5807","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_3068","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_9827","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_31466","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","ACK-M1","Planktophila","limnetica"
"OTU_18459","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","unclassified","unclassified","unclassified"
"OTU_4174","Bacteria","Chloroflexi","Chloroflexi","Roseiflexales","unclassified","unclassified","unclassified"
"OTU_2703","Bacteria","Chloroflexi","Chloroflexi","Roseiflexales","unclassified","unclassified","unclassified"
"OTU_506","Bacteria","Chloroflexi","Chloroflexi","Roseiflexales","unclassified","unclassified","unclassified"
"OTU_13549","Bacteria","Chloroflexi","Chloroflexi","Roseiflexales","unclassified","unclassified","unclassified"
"OTU_990","Bacteria","Chloroflexi","Chloroflexi","Roseiflexales","unclassified","unclassified","unclassified"
"OTU_5507","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_5995","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_3918","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_5667","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_7357","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_10274","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_3867","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_2489","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_8049","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_13090","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_7116","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_5196","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_3347","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_10844","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_13346","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_8233","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_3693","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_2847","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_3527","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_6958","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_29110","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_3351","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_5419","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_4714","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_3662","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_17263","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_9220","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_29276","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_16131","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_9996","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_12806","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_29290","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_12698","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_8810","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_6922","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_5691","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_29560","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_7082","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_33636","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_6125","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_7812","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_3277","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_2704","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_12994","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_5867","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_9760","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_1182","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_4439","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_9327","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_6041","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_13505","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_6909","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_34928","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_3651","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_12606","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_3983","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_7063","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_29216","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_5465","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_25605","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_6927","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_7289","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_33537","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_1770","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_704","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_12727","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_17410","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_10424","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_36092","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified"
"OTU_6135","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_8480","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_3919","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_8609","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_5637","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_12303","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_16513","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_5288","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_11190","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_5566","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_16511","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_7191","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_7701","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_6003","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_3174","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_29161","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_3669","Bacteria","Proteobacteria","Alphaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_6615","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_6625","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_5832","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_7220","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_505","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_5009","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_1920","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_31934","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_10610","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_14906","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_39343","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_16261","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_6266","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_9104","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_6345","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_5519","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_14811","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_16066","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_5594","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_8500","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_11632","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_2655","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_15496","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_6529","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_955","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_4422","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_2528","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_16406","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_8872","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_3788","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_8309","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_3598","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_2740","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_10819","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_5509","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_6268","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_17300","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified","unclassified"
"OTU_31999","Bacteria","Proteobacteria","TA18","CV90","unclassified","unclassified","unclassified"
"OTU_15133","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_5247","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_4147","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_29109","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_7006","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_5606","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_7183","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_5717","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_9905","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_8325","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_7955","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_4621","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_33525","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_12533","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_7121","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_9863","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_9734","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_2175","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_2872","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_18232","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_6506","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_4904","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_29487","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_29130","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_1669","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_6265","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_2591","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_10590","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_10193","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_2828","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_4268","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_16415","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_7750","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_6783","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_11155","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_37618","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_16248","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_6129","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_3677","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_16592","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_4403","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_6555","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_5490","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_11216","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_3436","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_5531","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_3731","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_4691","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_32900","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_4060","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_6132","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_20858","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_7507","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_4432","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_8940","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_13607","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_4314","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_15843","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_6115","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_4317","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_19455","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_19387","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_8365","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","bacteriovorus"
"OTU_2892","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","bacteriovorus"
"OTU_27069","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","bacteriovorus"
"OTU_4539","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","bacteriovorus"
"OTU_6131","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_36905","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_5696","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_5962","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_3619","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_29944","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_12619","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_16696","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_2653","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_13462","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_9685","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_35454","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_3744","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
"OTU_29571","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unclassified"
