"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_2060","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_3409","Bacteria","Proteobacteria","Alphaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_5602","Bacteria","Proteobacteria","Alphaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_25343","Bacteria","Proteobacteria","Alphaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_3190","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_5878","Bacteria","Proteobacteria","Alphaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_478","Bacteria","Proteobacteria","Alphaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_4170","Bacteria","Proteobacteria","Alphaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_18390","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Chromatiaceae","Rheinheimera","unclassified"
"OTU_18290","Bacteria","Proteobacteria","Alphaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_28382","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","unclassified","unclassified","unclassified"
"OTU_248","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betII","Pnec","PnecD"
"OTU_6659","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betII","Pnec","PnecA"
"OTU_16343","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betII","Pnec","PnecA"
"OTU_18848","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betII","Pnec","PnecB"
"OTU_12833","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betII","Pnec","unclassified"
"OTU_15570","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betII","Pnec","unclassified"
"OTU_8683","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betII","Pnec","unclassified"
"OTU_15982","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betII","Pnec","unclassified"
"OTU_1091","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betII","Pnec","PnecC"
"OTU_5830","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betII","Pnec","PnecC"
"OTU_46","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betII","Pnec","PnecB"
"OTU_18569","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betII","Pnec","PnecB"
"OTU_10085","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betII","Pnec","PnecB"
"OTU_15553","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","unclassified","unclassified","unclassified"
"OTU_15678","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","unclassified","unclassified","unclassified"
"OTU_4685","Bacteria","Elusimicrobia","Endomicrobia","unclassified","unclassified","unclassified","unclassified"
"OTU_11036","Bacteria","Elusimicrobia","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_4221","Bacteria","Elusimicrobia","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_8355","Bacteria","Elusimicrobia","unclassified","unclassified","unclassified","unclassified","unclassified"
