Sample,ID,place
RAE.D1,RE,1
RAE.D2,RE,1
RAE.D3,RE,1
RAE.D4,RE,1
RAE.D5,RE,1
RAE.D6,RE,1
RAG.C1,RAG,1
RAG.C2,RAG,1
RAG.C3,RAG,1
RAG.C4,RAG,1
RAG.C5,RAG,1
RAG.C6,RAG,1
VE.A1,VE,1
VE.A2,VE,1
VE.A3,VE,1
VE.A4,VE,1
VE.A5,VE,1
VE.A6,VE,1
VG.B1,VG,1
VG.B2,VG,1
VG.B3,VG,1
VG.B4,VG,1
VG.B5,VG,1
VG.B6,VG,1
VGUN.A7,VGUN,1
VGUN.A8,VGUN,1
VGUN.A9,VGUN,1
VGUN.A10,VGUN,1
VGUN.A11,VGUN,1
VGUN.A12,VGUN,1
AE-.E3,AE,1
W-.E4,W,1
V1Ep,V1Ep,1
V1Wp,V1Wp,1
RME.A1,RME,1
RME.A2,RME,1
RME.A3,RME,1
RME.A4,RME,1
RME.A5,RME,1
RME.A6,RME,1
NULL.A7,NULL,1
NULL.A8,NULL,1
NULL.A9,NULL,1
NULL.A10,NULL,1
NULL.A11,NULL,1
NULL.A12,NULL,1
V2W01.B1,V2W,1
V2W01.B2,V2W,1
V2W01.B3,V2W,1
V2W01.B4,V2W,1
V2W01.B5,V2W,1
V2W01.B6,V2W,1
VE2015.B7,VE2015,1
VE2015.B8,VE2015,1
VE2015.B9,VE2015,1
VE2015.B10,VE2015,1
VE2015.B11,VE2015,1
VE2015.B12,VE2015,1
BBE1.C1,BBE,1
BBE1.C2,BBE,1
BBE1.C3,BBE,1
BBE1.C4,BBE,1
BBE1.C5,BBE,1
BBE1.C6,BBE,1
POE1.C7,POE1,1
POE1.C8,POE1,1
POE1.C9,POE1,1
POE1.C10,POE1,1
POE1.C11,POE1,1
POE1.C12,POE1,1
VG2015.D1,VG2015,1
VG2015.D2,VG2015,1
VG2015.D3,VG2015,1
VG2015.D4,VG2015,1
VG2015.D5,VG2015,1
VG2015.D6,VG2015,1
BBE2.D7,BBE2,1
BBE2.D8,BBE2,1
BBE2.D9,BBE2,1
BBE2.D10,BBE2,1
BBE2.D11,BBE2,1
BBE2.D12,BBE2,1
POE2.E1,POE,1
POE2.E2,POE,1
POE2.E3,POE,1
POE2.E4,POE,1
POE2.E5,POE,1
POE2.E6,POE,1
NTC1.E7,NTC1,1
NTC1.E8,NTC1,1
NTC1.E9,NTC1,1
NTC2.E10,NTC2,1
NTC2.E11,NTC2,1
NULL.E12,NULL,1
NCF.F1,NCF,1
NCF.F2,NCF,1
NCF.F3,NCF,1
NCUF.F4,NCUF,1
NCUF.F5,NCUF,1
NCUF.F6,NCUF,1
AE.F7,AE,1
AE.F8,AE,1
AE.F9,AE,1
W.F10,W,1
W.F11,W,1
W.F12,W,1
PCR-NTC.G1,PCRNTC,1
PCR-NTC.G2,PCRNTC,1
PCR-NTC.G3,PCRNTC,1
LVW.G4,VIW,1
LVW.G5,VIW,1
LVW.G6,VIW,1
LVW.G7,VIW,1
LVW.G8,VIW,1
LVW.G9,VIW,1
MAW.G10,MAW,1
MAW.G11,MAW,1
MAW.G12,MAW,1
NULL.H1,NULL,1
MAW.H2,MAW,1
MAW.H3,MAW,1
RMW01.3.H4,RMW,1
RMW01.3.H5,RMW,1
RMW01.3.H6,RMW,1
RMW01.3.H7,RMW,1
RMW01.3.H8,RMW,1
RMW01.3.H9,RMW,1
NTC2.H10,NTC2,1
MAW.H11,MAW,1
NULL.H12,NULL,1
