"","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","BBE","BBW","BRE","BRW","CBE","CBW","EUE","EUW","FRE","FRW","IJE","IJW","LOE","LOW","MAE","MAW","MME","MMW","POE","POW","RME","RMW","SCE","SCW","TXE","TXW","VIE","VIW"
"8","OTU_01131","Bacteria","Nitrospirae","Nitrospira",NA,NA,NA,NA,0,0,0,0,0,0,0.01,0.06,0,0,0,0,0,0.03,0,0.06,0,0,0.02,0.01,0,0,0.01,0.01,0,0,0,0
"9","OTU_01142","Bacteria","Fibrobacteres","TG3",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0
"11","OTU_01178","Bacteria","ZB3","BS119",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.02,0,0.01,0,0.01,0,0.02,0,0.02,0,0,0,0,0,0.02,0,0,0,0
"13","OTU_01249","Bacteria","GN02","GKS2-174",NA,NA,NA,NA,0,0,0,0.01,0,0.01,0,0.02,0,0.01,0,0,0,0.03,0,0.06,0,0,0,0,0,0,0,0.01,0,0.01,0,0.01
"14","OTU_01281","Bacteria","Acidobacteria","S035",NA,NA,NA,NA,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","OTU_01339","Bacteria","Kazan-3B-28","unclassified",NA,NA,NA,NA,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0
"17","OTU_01352","Bacteria","OD1","SM2F11",NA,NA,NA,NA,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0.03,0,0.11,0,0,0,0,0,0,0,0.01,0,0,0,0
"20","OTU_01358","Bacteria","Planctomycetes","Phycisphaerae",NA,NA,NA,NA,0,0.01,0.02,0.11,0,0.03,0,0.05,0,0,0,0.01,0,0.03,0,0,0.02,0.03,0.01,0,0,0,0,0.03,0,0.01,0,0
"21","OTU_01386","Bacteria","TM6","SBRH58",NA,NA,NA,NA,0,0,0,0.01,0,0.02,0.01,0.05,0,0,0,0.01,0,0.01,0,0.02,0,0,0,0,0,0,0.02,0.02,0,0.01,0,0
"25","OTU_01522","Bacteria","WS6","SC72",NA,NA,NA,NA,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.07,0,0,0,0.02
"26","OTU_01547","Bacteria","Acidobacteria","Solibacteres",NA,NA,NA,NA,0,0.01,0,0,0,0,0.01,0.03,0,0,0,0,0,0.02,0.07,0.01,0,0.01,0,0.02,0,0,0,0,0,0,0,0
"31","OTU_01635","Bacteria","Armatimonadetes","Armatimonadia",NA,NA,NA,NA,0,0,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","OTU_01654","Bacteria","OD1","ABY1",NA,NA,NA,NA,0,0,0,0.02,0,0.01,0,0.01,0,0.02,0,0.01,0,0.02,0,0.19,0,0,0,0,0,0,0,0.06,0,0.01,0,0.01
