"","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","BBE","BBW","BRE","BRW","CBE","CBW","EUE","EUW","FRE","FRW","IJE","IJW","LOE","LOW","MAE","MAW","MME","MMW","POE","POW","RME","RMW","SCE","SCW","TXE","TXW","VIE","VIW"
"287","OTU_00061","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,0.13,0.06,0.55,1.6,3.36,0.48,0.15,2.93,1.02,0.7,0.19,0.23,0.34,1.78,1.24,4.87,0.68,0.21,0.82,0.26,0.06,0.74,0.12,0.17,0.02,0.32,0.17,0.09
"299","OTU_00068","Bacteria","Proteobacteria","Betaproteobacteria","MWH-UniP1",NA,NA,NA,0.01,0.55,0,1,0.12,5.72,0,0.13,0,1.99,0,1.4,0,0.97,0,0.1,0,4.11,0,0.23,0,0.1,0,1.17,0.01,0.44,0,0
"306","OTU_00074","Bacteria","GN02","BD1-5","unclassified",NA,NA,NA,0.19,0,0.02,0,0.07,0.01,0.34,0.03,0,0.01,0.53,0.01,2,0.01,0.24,0.04,0.25,0,0.69,0,0.32,0.03,0.36,0.02,1.94,0.02,0.23,0.02
"317","OTU_00082","Bacteria","Cyanobacteria","Chloroplast","Streptophyta",NA,NA,NA,0.06,0,0,0,0.09,0,0,0.01,0.23,0,0.17,0,0,0,0.07,0,0.01,0,0,0,0,0,0,0,0,0,0,0
"320","OTU_00084","Bacteria","Cyanobacteria","Chloroplast","Chlorophyta",NA,NA,NA,0.01,0.1,0.06,0.09,4.19,4.33,2.88,1.84,1.93,0,0.06,0,0.09,0.01,0.13,0,0.08,0.02,0.04,0.17,0,0.12,0.07,0.03,1.24,0.44,0,0
"6","OTU_00104","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales",NA,NA,NA,0,0.01,0.06,0.1,0.02,0.17,0.02,1.6,3.29,0.2,0.71,0.16,0,0.09,0.37,0.34,0.18,0.43,0,0.02,0.02,0.23,1.57,0.68,0.03,0.92,0.02,0
"10","OTU_00106","Bacteria","Cyanobacteria","Chloroplast","Euglenozoa",NA,NA,NA,0,0,0,0,0,0,0,0,0.2,0,12.43,0,0,0,0,0,0.13,0,0,0,0.01,0,0.07,0,0.01,0,0,0
"29","OTU_00122","Bacteria","Proteobacteria","Alphaproteobacteria","alfVII",NA,NA,NA,0,0.28,0,1.54,0.35,0.49,0.03,0.99,0.24,0.02,0,0.01,0,0.14,0.18,0.11,0.04,0.04,0.02,0.09,0.01,0,0.01,0.07,0.02,0.1,0,0
"34","OTU_00132","Bacteria","Chlorobi","OPB56","unclassified",NA,NA,NA,0,0.33,0,4.14,0,0.05,0,0.02,0,0.03,0,0.03,0,0.11,0,0.11,0,0.01,0,0.01,0,0,0,0.14,0,0.28,0,0
"38","OTU_00135","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales",NA,NA,NA,9.99,0,0,0,1.11,0,0,0,0,0.01,0,0.02,0,0.01,0,0.29,0,0.01,0.01,0,0.05,0,0.07,0.03,0,0,0.85,0.02
"45","OTU_00140","Bacteria","Cyanobacteria","Synechococcophycideae","Synechococcales",NA,NA,NA,0.02,1.03,3.49,12.91,2.34,1.78,0.16,2.36,3.16,0.04,5.05,0.4,0.05,0.25,4.12,0.02,3.2,2.41,1,14.62,0,0,0,0.1,0.18,2.07,0.16,0
"52","OTU_00149","Bacteria","GN02","unclassified","unclassified",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
"64","OTU_00161","Bacteria","Proteobacteria","Alphaproteobacteria","alfVIII",NA,NA,NA,0,0,0.2,1.96,0,0.01,0,0,0.75,0.02,0.76,0.15,0,0.26,0,0.05,0.67,0.76,0,0,0,0,0,0.01,0,0,0,0
"66","OTU_00163","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales",NA,NA,NA,0,0,0,0.15,0,0.18,0.24,0.4,0,0.43,0.03,0.1,0.07,0.06,0,0.37,0,0.02,0,0,0.17,0.07,0.01,0.87,0.02,1.22,0.08,1.31
"78","OTU_00173","Bacteria","Gemmatimonadetes","Gemmatimonadetes","KD8-87",NA,NA,NA,0,0.47,0,0.1,0,0.19,0,0.01,0,0,0,0.01,0,2.15,0.01,0.11,0,0.05,0,0.33,0,0,0,0.31,0,0.04,0,0
"84","OTU_00179","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales",NA,NA,NA,4.81,0.08,0,0,0.23,0.42,0,0,0.05,0,0,0,0.04,0,0.47,0.09,0.04,0,0.22,0.03,0,0,0,4.32,0,0,0.13,0.32
"87","OTU_00185","Bacteria","SR1","unclassified","unclassified",NA,NA,NA,0,0,0,0.01,0,0,0,0.01,0,0.02,0.14,0.01,0,0,0,0.06,0.32,0,0,0,0.01,0.01,0.01,0.05,0.32,0.01,0,0.02
"93","OTU_00194","Bacteria","Cyanobacteria","Oscillatoriophycideae","Chroococcales",NA,NA,NA,0.02,0,0.05,0,0,0,0,0,0.06,0,1.53,0,0.05,0,0.01,0,2.19,0.01,0,0,0,0,0,0,0,0,0.02,0
