"","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","BBE","BBW","BRE","BRW","CBE","CBW","EUE","EUW","FRE","FRW","IJE","IJW","LOE","LOW","MAE","MAW","MME","MMW","POE","POW","RME","RMW","SCE","SCW","TXE","TXW","VIE","VIW"
"563","OTU_00334","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","Chthoniobacteraceae","Candidatus_Xiphinematobacter",NA,0,0.01,0,0.09,0.25,0.02,0,0.11,0,0,0.01,0.01,0,0.01,0.31,0.14,0.04,0.03,0.11,0,0,0,0.01,0.01,0.02,1.04,0,0
"565","OTU_00335","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Olleya",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
"570","OTU_00337","Bacteria","Tenericutes","Mollicutes","Acholeplasmatales","Acholeplasmataceae","Acholeplasma",NA,0,0.01,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0
"574","OTU_00339","Bacteria","Cyanobacteria","Oscillatoriophycideae","Oscillatoriales","Phormidiaceae","Phormidium",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.11,0,0,0,0,0,0
"582","OTU_00342","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","unclassified","unclassified",NA,0,0,0,0.12,0,0,0.01,0.19,0,0,0.05,0,0,0.03,0,0.01,0.15,0,0,0,0.07,0,0.01,0,0.28,0,0.01,0
"592","OTU_00349","Bacteria","Acidobacteria","Holophagae","Holophagales","Holophagaceae","unclassified",NA,0,0,0.01,0,0,0.01,0.01,0.31,0,0,0,0,0,0.07,0,0.03,0,0,0.02,1.69,0,0,0,0,0,0,0,0
"604","OTU_00355","Bacteria","Spirochaetes","Leptospirae","Leptospirales","Leptospiraceae","Leptospira",NA,0,0,0,0.41,0,0.01,0.01,0,0,0.12,0,0.22,0,0,0,0,0,0.5,0,0,0,0.02,0,0,0,0.01,0,0
"608","OTU_00356","Bacteria","Actinobacteria","Nitriliruptoria","Nitriliruptorales","Nitriliruptoraceae","unclassified",NA,0,1.13,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.08,0,0,0,0
"612","OTU_00357","Bacteria","Cyanobacteria","ML635J-21","unclassified","unclassified","unclassified",NA,0,0,0,0.58,0,0,0.01,0.03,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0
"623","OTU_00365","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","bacVI","bacVI-B",NA,0,0,0,0.24,0,0.2,0,0.19,0,0.3,0,0.03,0,0.1,0,0.03,0,0.03,0.04,0.07,0,0,0,0.04,0,0.14,0,0
"627","OTU_00367","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","unclassified",NA,0,0,0,0.02,0,0,0.01,0.13,0,0,0,0,0.04,0,0,0.01,0,0,0,0,0.23,0,0,0,0.01,0,0.02,0
"631","OTU_00370","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","unclassified",NA,0,0,0,0.04,0.21,0,0,0.03,0,0.02,0.05,0.01,0.13,0.03,0.18,0.07,0.13,0.05,0,0.01,0,0,0.25,0.06,0,0.02,0,0
"633","OTU_00371","Bacteria","Proteobacteria","Deltaproteobacteria","Spirobacillales","unclassified","unclassified",NA,0,0.02,0.06,1.09,0,0.04,0.01,0.19,0,0.1,0,0.14,0,0.04,0,0.09,0,0.26,0,0.03,0,0.01,0.01,0.01,0.01,0.09,0.02,0
"635","OTU_00373","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Idiomarinaceae","Pseudidiomarina",NA,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0
"636","OTU_00374","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Alkanindiges",NA,0,0,0,0,0.09,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0.02,0,0,0,0.08,0,0,0,0,0
"639","OTU_00378","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus",NA,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"641","OTU_00379","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Reyranella",NA,0,0,0,0.01,0,0.02,0,0.08,0.02,0,0,0,0,0.01,0,0.04,0,0.01,0,0,0,0,0,0.03,0,0.08,0.01,0
"645","OTU_00380","Bacteria","Proteobacteria","Betaproteobacteria","Thiobacterales","Thiobacteraceae","unclassified",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0
"652","OTU_00384","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","unclassified",NA,0,0.14,0,0.03,0,0.1,0,0.38,0,0.1,0,0.01,0,0.08,0,0.03,0.05,0.01,0.03,0.24,0,0,0,0.21,0,0.2,0,0
"658","OTU_00391","Bacteria","Cyanobacteria","Chloroplast","Stramenopiles","unclassified","unclassified",NA,0.02,0,0.2,0.12,1.9,0.09,0.3,0.13,2.75,0.1,0.19,0.1,0.51,0.04,1.27,0.06,0,0.09,0.29,0.01,0.11,0.01,0.06,0.01,0.24,0.02,0.33,0.01
"660","OTU_00394","Bacteria","Actinobacteria","MB-A2-108","0319-7L14","unclassified","unclassified",NA,0,0,0,0,0,0,0.01,0.34,0.01,0,0,0,0,0,0,0.03,0,0.01,0.01,0,0,0,0.02,0,0,0,0,0
"663","OTU_00395","Bacteria","Cyanobacteria","Chloroplast","Chlorophyta","Chlamydomonadaceae","Spermatozopsis",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0.02,0,0
"669","OTU_00400","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythrobacter",NA,0,0.02,0,0.02,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0
"671","OTU_00401","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Crenotrichaceae","Crenothrix",NA,0,0,0.01,0,0,0.05,0,0,0,0,0,0,0.96,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0.01,0,0
"674","OTU_00405","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinomonas",NA,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.12,0.08
"678","OTU_00412","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Rickettsiella",NA,0,0.01,0,0.01,0,0.05,0.01,0.19,0.01,0.04,0,0.05,0,0.09,0,0.01,0,0.02,0,0.01,0,0.01,0,0.66,0,0.01,0,0.01
"679","OTU_00413","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","Opitutus",NA,0,0.02,0,0.09,0,0.04,0,0.28,0,0.02,0,0.01,0,0.22,0,0.04,0,0.04,0,0.02,0.02,0,0,0.06,0,0.01,0,0
"684","OTU_00416","Bacteria","Cyanobacteria","Chloroplast","Cryptophyta","unclassified","unclassified",NA,0,0,0,0.05,0,0.02,0,0,0,0.04,0,0.07,0,0.05,0,0.01,0,0,0,0,0,0.06,0,0.01,0,0,0,0.01
"686","OTU_00417","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Propionibacterium",NA,0,0,0,0,0,0,0,0,0.52,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
"693","OTU_00420","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Glaciecola",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.53
"701","OTU_00431","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","OM60","unclassified",NA,0,0.23,0,0,0.14,0.71,0,0,0,0,0,0.01,0.04,0,0.09,0.02,0.04,0.01,0,0.01,0,0,0.03,0.15,0.02,0,0.07,0.01
"708","OTU_00437","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","unclassified",NA,0.01,0,0,0,0,0,0.01,0.09,0.25,0,0.09,0,0.07,0,0,0.02,0,0.01,0.04,0,0.01,0,0.05,0,0.01,0.01,0,0
"712","OTU_00440","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Haloferula",NA,0,0,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
"719","OTU_00443","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio",NA,0,0,0,0.01,0,0.01,0.05,0.18,0,0.02,0.02,0.02,0.24,0.04,0,0.16,0,0.17,0,0,0.02,0.01,0,0.02,0.01,0.01,0,0
"722","OTU_00444","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","acIII","acIII-A",NA,0,0.02,0,0.01,0.14,0.03,0,0.16,0.01,0.06,0,0.05,0,0.01,0,0.69,0,0.01,0,0.03,0,0.03,0.01,0.13,0,0,0,0
"723","OTU_00447","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Cellvibrio",NA,0,0,0.14,0,0,0,0.02,0.11,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.18,0.02,0,0,0,0.02,0,0
"726","OTU_00452","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",NA,0,0,0,0.01,0,0.01,0,0.16,0.07,0.02,0.05,0.08,0,0,0,0.03,0,0.13,0,0.01,0,0,0,0.02,0,0,0,0
"729","OTU_00457","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amaricoccus",NA,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0
"734","OTU_00461","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Pseudoalteromonadaceae","Vibrio",NA,1.02,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
